id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
271c9d24-2e57-47c7-9b33-6a4264fc8737,Isabel Sá,1943-02-12,747.306.357-46,44261351,Porto Grande,GO,Brasil,M,21 5774-9736,74730635746@exemplo.com.br,2024-02-10
e099ebf7-eec2-41d9-a779-1f3089af1d9c,Dr. Otávio Garcia,1972-04-02,304.858.943-88,08467-854,Dias,PB,Brasil,M,+55 71 3951 3106,30485894388@exemplo.com.br,2025-02-21
a75a246b-851a-49fe-b5f1-cd10b97e66b4,Sra. Maria Júlia Montenegro,1940-08-29,732.025.254-07,07795-138,Abreu,PA,Brasil,M,+55 81 0122 1176,73202525407@exemplo.com.br,2025-05-07
086f8f92-b40d-4088-94d1-b4fdefa31d6d,Vitor Hugo Barros,1955-01-19,925.256.514-00,94357-787,Lopes,MS,Brasil,M,31 2705-3228,92525651400@exemplo.com.br,2025-05-24
638d7102-7565-4e1d-9ffa-8a2b439ffba1,Marcos Vinicius Porto,1937-01-11,495.050.064-86,73450027,Mendonça do Sul,MG,Brasil,F,0500 118 3103,49505006486@exemplo.com.br,2024-03-28
15ec4cfe-e69e-45c4-926f-ed0ba8ed6323,Dr. José Cardoso,1984-08-23,010.323.323-11,31025474,Correia do Norte,CE,Brasil,F,+55 (071) 6477 9698,01032332311@exemplo.com.br,2025-01-25
58efe5b0-1223-41f3-8427-0619e0825346,Felipe da Rosa,1984-05-02,099.927.857-65,53483913,Cavalcanti da Mata,MG,Brasil,F,+55 (011) 1105 8841,09992785765@exemplo.com.br,2024-05-12
9a8b9a83-24a4-4abb-8bd3-399aa8bea072,Brenda Lima,1983-09-18,989.570.046-09,40548466,Sampaio da Prata,CE,Brasil,M,+55 11 7129-6292,98957004609@exemplo.com.br,2025-02-10
477d9e15-eb97-48fa-b354-29ef5f0b94a7,Alexandre Porto,1967-03-24,346.466.572-27,25170-395,Montenegro,PB,Brasil,M,+55 (011) 9367-2618,34646657227@exemplo.com.br,2024-02-10
30774208-2b69-48f2-9452-e9c476fdbbf9,Leonardo da Mata,1994-09-30,302.396.499-13,43264961,Rodrigues de Goiás,BA,Brasil,F,31 1294 4348,30239649913@exemplo.com.br,2025-01-23
